Date,IT Department,Cost Element,Country,Actual
1/08/2020,Data Centers,Hardware,USA,"28,600"
1/08/2020,Data Centers,Hardware Maintenance,United Kingdom,"13,122"
1/08/2020,Data Centers,Hardware Maintenance,USA,"-196,222"
1/08/2020,Data Centers,Internal Labor,Austria,"3,759"
1/08/2020,Data Centers,Internal Labor,Germany,"11,174"
1/08/2020,Data Centers,Internal Labor,Netherlands,"3,721"
1/08/2020,Data Centers,Internal Labor,Spain,768
1/08/2020,Data Centers,Internal Labor,United Kingdom,"10,628"
1/08/2020,Data Centers,Internal Labor,USA,"120,319"
1/08/2020,Data Centers,Other,Austria,50
1/08/2020,Data Centers,Other,Netherlands,5
1/08/2020,Data Centers,Other,United Kingdom,-162
1/08/2020,Data Centers,Other,USA,29
1/08/2020,Data Centers,Recognition,Austria,44
1/08/2020,Data Centers,Severance,Austria,38
1/08/2020,Data Centers,Software,USA,"22,271"
1/08/2020,Data Centers,Software Maintenance,USA,"384,802"
1/08/2020,Data Centers,Supplies,USA,429
1/08/2020,Data Centers,Taxes,USA,"17,338"
1/08/2020,Data Centers,Telecomm,Austria,75
1/08/2020,Data Centers,Telecomm,United Kingdom,-334
1/08/2020,Data Centers,Telecomm,USA,928
1/08/2020,Data Centers,Training,United Kingdom,561
1/08/2020,Data Centers,Training,USA,44
1/08/2020,Data Centers,Travel,Netherlands,371
1/08/2020,Data Centers,Travel,Spain,249
1/08/2020,Data Centers,Travel,United Kingdom,"-1,191"
1/08/2020,Data Centers,Travel,USA,866
1/08/2020,Data Centers,Vehicles,Netherlands,419
1/08/2020,Data Centers,Vehicles,Spain,253
1/08/2020,Data Centers,Vehicles,United Kingdom,1
1/08/2020,Data Management,Depreciation,Germany,"4,554"
1/08/2020,Data Management,Internal Labor,Germany,"2,887"
1/08/2020,Data Management,Internal Labor,Spain,657
1/08/2020,Data Management,Telecomm,Germany,"-2,116"
1/08/2020,Data Management,Travel,Spain,103
1/08/2020,Data Management,Vehicles,Spain,514
1/08/2020,Development,Employee Performance,USA,26
1/08/2020,Development,External Labor,United Kingdom,911
1/08/2020,Development,External Labor,USA,"127,592"
1/08/2020,Development,Inbound Allocations,United Kingdom,137
1/08/2020,Development,Internal Labor,Belgium,"4,998"
1/08/2020,Development,Internal Labor,Germany,"1,404"
1/08/2020,Development,Internal Labor,Spain,869
1/08/2020,Development,Internal Labor,United Kingdom,"7,232"
1/08/2020,Development,Internal Labor,USA,"137,555"
1/08/2020,Development,Moving,USA,"3,127"
1/08/2020,Development,Other,Belgium,14
1/08/2020,Development,Other,Spain,48
1/08/2020,Development,Other,United Kingdom,-32
1/08/2020,Development,Outbound Allocations,United Kingdom,"1,166"
1/08/2020,Development,Outbound Allocations,USA,"-2,506"
1/08/2020,Development,Software,USA,"82,496"
1/08/2020,Development,Software Maintenance,USA,"22,561"
1/08/2020,Development,Supplies,USA,268
1/08/2020,Development,Taxes,USA,"1,007"
1/08/2020,Development,Telecomm,Belgium,41
1/08/2020,Development,Telecomm,United Kingdom,-3
1/08/2020,Development,Telecomm,USA,733
1/08/2020,Development,Training,United Kingdom,-626
1/08/2020,Development,Training,USA,830
1/08/2020,Development,Travel,Belgium,-496
1/08/2020,Development,Travel,Spain,"1,399"
1/08/2020,Development,Travel,United Kingdom,-96
1/08/2020,Development,Travel,USA,"3,122"
1/08/2020,Development,Vehicles,Belgium,345
1/08/2020,Development,Vehicles,United Kingdom,1
1/08/2020,Distribution,Amortization,Italy,"5,492"
1/08/2020,Distribution,Depreciation,Belgium,17
1/08/2020,Distribution,Depreciation,Italy,291
1/08/2020,Distribution,Depreciation,Switzerland,448
1/08/2020,Distribution,Depreciation,United Kingdom,27
1/08/2020,Distribution,Employee Performance,USA,8
1/08/2020,Distribution,External Labor,France,"-3,247"
1/08/2020,Distribution,External Labor,United Kingdom,"4,514"
1/08/2020,Distribution,External Labor,USA,"78,477"
1/08/2020,Distribution,Hardware,Canada,59
1/08/2020,Distribution,Hardware,France,708
1/08/2020,Distribution,Hardware,United Kingdom,607
1/08/2020,Distribution,Inbound Allocations,Czech Republic,"38,322"
1/08/2020,Distribution,Internal Labor,Belgium,"11,530"
1/08/2020,Distribution,Internal Labor,Canada,"6,735"
1/08/2020,Distribution,Internal Labor,France,"28,469"
1/08/2020,Distribution,Internal Labor,Germany,"24,701"
1/08/2020,Distribution,Internal Labor,Italy,"9,152"
1/08/2020,Distribution,Internal Labor,Spain,"1,425"
1/08/2020,Distribution,Internal Labor,Switzerland,"9,165"
1/08/2020,Distribution,Internal Labor,United Kingdom,"13,363"
1/08/2020,Distribution,Internal Labor,USA,"83,871"
1/08/2020,Distribution,Moving,United Kingdom,"-1,928"
1/08/2020,Distribution,Other,Belgium,"3,648"
1/08/2020,Distribution,Other,Canada,61
1/08/2020,Distribution,Other,Germany,"-6,755"
1/08/2020,Distribution,Other,Switzerland,"-5,489"
1/08/2020,Distribution,Other,United Kingdom,656
1/08/2020,Distribution,Outbound Allocations,United Kingdom,727
1/08/2020,Distribution,Severance,Italy,593
1/08/2020,Distribution,Software,USA,17
1/08/2020,Distribution,Software Maintenance,USA,12
1/08/2020,Distribution,Supplies,Belgium,462
1/08/2020,Distribution,Supplies,Canada,"55,714"
1/08/2020,Distribution,Supplies,USA,23
1/08/2020,Distribution,Telecomm,Belgium,41
1/08/2020,Distribution,Telecomm,Canada,38
1/08/2020,Distribution,Telecomm,Czech Republic,31
1/08/2020,Distribution,Telecomm,Italy,150
1/08/2020,Distribution,Telecomm,Switzerland,42
1/08/2020,Distribution,Telecomm,United Kingdom,"6,287"
1/08/2020,Distribution,Telecomm,USA,780
1/08/2020,Distribution,Training,USA,88
1/08/2020,Distribution,Travel,Belgium,"1,041"
1/08/2020,Distribution,Travel,Canada,815
1/08/2020,Distribution,Travel,France,827
1/08/2020,Distribution,Travel,Germany,"1,324"
1/08/2020,Distribution,Travel,Italy,267
1/08/2020,Distribution,Travel,Spain,171
1/08/2020,Distribution,Travel,Switzerland,91
1/08/2020,Distribution,Travel,United Kingdom,"1,500"
1/08/2020,Distribution,Travel,USA,381
1/08/2020,Distribution,Vehicles,Belgium,367
1/08/2020,Distribution,Vehicles,United Kingdom,"1,529"
1/08/2020,Document Management,Depreciation,USA,261
1/08/2020,Document Management,Employee Performance,USA,80
1/08/2020,Document Management,External Labor,USA,"136,636"
1/08/2020,Document Management,Hardware,USA,17
1/08/2020,Document Management,Internal Labor,USA,"108,187"
1/08/2020,Document Management,Other,USA,194
1/08/2020,Document Management,Software,USA,402
1/08/2020,Document Management,Software Maintenance,USA,"62,812"
1/08/2020,Document Management,Supplies,USA,6
1/08/2020,Document Management,Taxes,USA,154
1/08/2020,Document Management,Telecomm,USA,748
1/08/2020,Document Management,Training,USA,"1,379"
1/08/2020,Document Management,Travel,USA,"1,001"
1/08/2020,EIM,Amortization,Italy,169
1/08/2020,EIM,CAPEX,USA,"15,197"
1/08/2020,EIM,Depreciation,Italy,"1,676"
1/08/2020,EIM,Employee Performance,USA,75
1/08/2020,EIM,External Labor,USA,"64,909"
1/08/2020,EIM,Hardware,USA,106
1/08/2020,EIM,Hardware Maintenance,Italy,"3,243"
1/08/2020,EIM,Inbound Allocations,Belgium,453
1/08/2020,EIM,Internal Labor,Italy,"4,954"
1/08/2020,EIM,Internal Labor,USA,"107,469"
1/08/2020,EIM,Other,Italy,9
1/08/2020,EIM,Other,USA,48
1/08/2020,EIM,Severance,Italy,196
1/08/2020,EIM,Software,USA,"30,033"
1/08/2020,EIM,Software Maintenance,USA,"16,807"
1/08/2020,EIM,Supplies,USA,12
1/08/2020,EIM,Telecomm,USA,962
1/08/2020,EIM,Training,Italy,"-2,770"
1/08/2020,EIM,Training,USA,293
1/08/2020,EIM,Travel,Italy,"2,862"
1/08/2020,EIM,Travel,USA,758
1/08/2020,EIM,Vehicles,Italy,143
1/08/2020,Emerging,Depreciation,Brazil,"2,283"
1/08/2020,Emerging,Depreciation,Mexico,471
1/08/2020,Emerging,Depreciation,Turkey,"2,756"
1/08/2020,Emerging,Depreciation,USA,63
1/08/2020,Emerging,External Labor,Brazil,"5,405"
1/08/2020,Emerging,External Labor,Mexico,"2,266"
1/08/2020,Emerging,External Labor,USA,"38,504"
1/08/2020,Emerging,Hardware,Turkey,228
1/08/2020,Emerging,Hardware Maintenance,Brazil,942
1/08/2020,Emerging,Hardware Maintenance,Turkey,688
1/08/2020,Emerging,Internal Labor,Brazil,"9,570"
1/08/2020,Emerging,Internal Labor,Mexico,"19,427"
1/08/2020,Emerging,Internal Labor,USA,"4,076"
1/08/2020,Emerging,Moving,Brazil,335
1/08/2020,Emerging,Other,Brazil,"1,771"
1/08/2020,Emerging,Other,Mexico,560
1/08/2020,Emerging,Severance,Brazil,512
1/08/2020,Emerging,Severance,Mexico,"3,503"
1/08/2020,Emerging,Software,Turkey,20
1/08/2020,Emerging,Software Maintenance,Brazil,"1,300"
1/08/2020,Emerging,Supplies,Brazil,22
1/08/2020,Emerging,Supplies,Mexico,56
1/08/2020,Emerging,Telecomm,Brazil,978
1/08/2020,Emerging,Telecomm,Mexico,117
1/08/2020,Emerging,Telecomm,Turkey,"1,077"
1/08/2020,Emerging,Telecomm,USA,275
1/08/2020,Emerging,Training,Brazil,131
1/08/2020,Emerging,Training,Mexico,"1,472"
1/08/2020,Emerging,Travel,Brazil,54
1/08/2020,Emerging,Travel,Mexico,"1,556"
1/08/2020,Emerging,Travel,Turkey,510
1/08/2020,Emerging,Travel,USA,"14,427"
1/08/2020,Emerging,Vehicles,Mexico,101
1/08/2020,Enterprise Capabilities,Depreciation,United Kingdom,20
1/08/2020,Enterprise Capabilities,Internal Labor,Spain,992
1/08/2020,Enterprise Capabilities,Internal Labor,United Kingdom,"8,908"
1/08/2020,Enterprise Capabilities,Other,United Kingdom,103
1/08/2020,Enterprise Capabilities,Telecomm,United Kingdom,-10
1/08/2020,Enterprise Capabilities,Training,United Kingdom,-151
1/08/2020,Enterprise Capabilities,Travel,Spain,171
1/08/2020,Enterprise Capabilities,Travel,United Kingdom,"1,821"
1/08/2020,Enterprise Capabilities,Vehicles,United Kingdom,1
1/08/2020,GRC,Depreciation,United Kingdom,167
1/08/2020,GRC,External Labor,Germany,"13,032"
1/08/2020,GRC,External Labor,Spain,"17,665"
1/08/2020,GRC,External Labor,United Kingdom,"4,733"
1/08/2020,GRC,External Labor,USA,"-32,754"
1/08/2020,GRC,Hardware,United Kingdom,237
1/08/2020,GRC,Hardware,USA,248
1/08/2020,GRC,Hardware Maintenance,Italy,"6,853"
1/08/2020,GRC,Inbound Allocations,New Zealand,-21
1/08/2020,GRC,Internal Labor,France,"7,290"
1/08/2020,GRC,Internal Labor,Germany,"45,712"
1/08/2020,GRC,Internal Labor,Italy,"10,322"
1/08/2020,GRC,Internal Labor,New Zealand,"18,805"
1/08/2020,GRC,Internal Labor,United Kingdom,"39,271"
1/08/2020,GRC,Internal Labor,USA,"20,189"
1/08/2020,GRC,Other,Germany,"-7,119"
1/08/2020,GRC,Other,Italy,25
1/08/2020,GRC,Other,New Zealand,5
1/08/2020,GRC,Other,United Kingdom,573
1/08/2020,GRC,Outbound Allocations,United Kingdom,727
1/08/2020,GRC,Severance,Italy,736
1/08/2020,GRC,Severance,New Zealand,297
1/08/2020,GRC,Taxes,USA,104
1/08/2020,GRC,Telecomm,Italy,100
1/08/2020,GRC,Telecomm,New Zealand,21
1/08/2020,GRC,Telecomm,United Kingdom,256
1/08/2020,GRC,Telecomm,USA,141
1/08/2020,GRC,Training,Germany,123
1/08/2020,GRC,Travel,Germany,"4,318"
1/08/2020,GRC,Travel,Italy,948
1/08/2020,GRC,Travel,New Zealand,"4,265"
1/08/2020,GRC,Travel,United Kingdom,"4,920"
1/08/2020,GRC,Vehicles,Germany,387
1/08/2020,GRC,Vehicles,Italy,27
1/08/2020,GRC,Vehicles,United Kingdom,466
1/08/2020,Help Desk,Employee Performance,USA,1
1/08/2020,Help Desk,External Labor,United Kingdom,"-14,822"
1/08/2020,Help Desk,External Labor,USA,"293,178"
1/08/2020,Help Desk,Hardware,USA,37
1/08/2020,Help Desk,Hardware Maintenance,USA,27
1/08/2020,Help Desk,Other,USA,154
1/08/2020,Help Desk,Software,USA,78
1/08/2020,Help Desk,Software Maintenance,United Kingdom,"-56,759"
1/08/2020,Help Desk,Software Maintenance,USA,"4,819"
1/08/2020,Help Desk,Taxes,USA,230
1/08/2020,Help Desk,Telecomm,USA,541
1/08/2020,Help Desk,Travel,United Kingdom,166
1/08/2020,Hosting,Amortization,USA,"3,507"
1/08/2020,Hosting,Depreciation,USA,"44,624"
1/08/2020,Hosting,Employee Performance,USA,54
1/08/2020,Hosting,External Labor,United Kingdom,"-1,434"
1/08/2020,Hosting,External Labor,USA,"86,039"
1/08/2020,Hosting,Hardware Maintenance,USA,41
1/08/2020,Hosting,Internal Labor,United Kingdom,"7,924"
1/08/2020,Hosting,Internal Labor,USA,"84,171"
1/08/2020,Hosting,Other,United Kingdom,202
1/08/2020,Hosting,Software,USA,"2,794"
1/08/2020,Hosting,Software Maintenance,USA,"337,352"
1/08/2020,Hosting,Supplies,USA,86
1/08/2020,Hosting,Taxes,USA,"3,253"
1/08/2020,Hosting,Telecomm,United Kingdom,-2
1/08/2020,Hosting,Telecomm,USA,438
1/08/2020,Hosting,Training,USA,744
1/08/2020,Hosting,Travel,United Kingdom,"1,155"
1/08/2020,Hosting,Travel,USA,63
1/08/2020,Hosting,Vehicles,United Kingdom,1
1/08/2020,Innovation,Depreciation,Austria,2
1/08/2020,Innovation,Employee Performance,USA,11
1/08/2020,Innovation,External Labor,USA,21
1/08/2020,Innovation,Internal Labor,Austria,"4,412"
1/08/2020,Innovation,Internal Labor,USA,"15,910"
1/08/2020,Innovation,Moving,USA,"3,917"
1/08/2020,Innovation,Other,Austria,24
1/08/2020,Innovation,Recognition,USA,173
1/08/2020,Innovation,Severance,Austria,53
1/08/2020,Innovation,Software,USA,11
1/08/2020,Innovation,Software Maintenance,USA,8
1/08/2020,Innovation,Supplies,USA,187
1/08/2020,Innovation,Telecomm,Austria,354
1/08/2020,Innovation,Telecomm,USA,358
1/08/2020,Innovation,Training,USA,44
1/08/2020,Innovation,Travel,USA,"2,174"
1/08/2020,Manufacturing,Amortization,France,"8,455"
1/08/2020,Manufacturing,Amortization,Germany,"1,350"
1/08/2020,Manufacturing,Amortization,Ireland,"1,893"
1/08/2020,Manufacturing,Amortization,Italy,"9,186"
1/08/2020,Manufacturing,Amortization,Puerto Rico,"27,755"
1/08/2020,Manufacturing,Amortization,Spain,207
1/08/2020,Manufacturing,Amortization,USA,"1,176,635"
1/08/2020,Manufacturing,Depreciation,Brazil,"1,908"
1/08/2020,Manufacturing,Depreciation,France,"17,518"
1/08/2020,Manufacturing,Depreciation,Germany,26
1/08/2020,Manufacturing,Depreciation,Ireland,"6,721"
1/08/2020,Manufacturing,Depreciation,Italy,"14,843"
1/08/2020,Manufacturing,Depreciation,Puerto Rico,"50,463"
1/08/2020,Manufacturing,Depreciation,Spain,"5,221"
1/08/2020,Manufacturing,Depreciation,United Kingdom,"1,083"
1/08/2020,Manufacturing,Depreciation,USA,"26,511"
1/08/2020,Manufacturing,Employee Performance,USA,"1,171"
1/08/2020,Manufacturing,External Labor,Brazil,"4,599"
1/08/2020,Manufacturing,External Labor,France,"151,504"
1/08/2020,Manufacturing,External Labor,Ireland,"2,297"
1/08/2020,Manufacturing,External Labor,Italy,"21,506"
1/08/2020,Manufacturing,External Labor,Mexico,"4,320"
1/08/2020,Manufacturing,External Labor,Puerto Rico,"43,555"
1/08/2020,Manufacturing,External Labor,Spain,"15,868"
1/08/2020,Manufacturing,External Labor,United Kingdom,"-2,185"
1/08/2020,Manufacturing,External Labor,USA,"308,596"
1/08/2020,Manufacturing,Hardware,France,"2,737"
1/08/2020,Manufacturing,Hardware,Puerto Rico,"6,184"
1/08/2020,Manufacturing,Hardware,USA,"3,205"
1/08/2020,Manufacturing,Hardware Maintenance,Brazil,"1,386"
1/08/2020,Manufacturing,Hardware Maintenance,France,703
1/08/2020,Manufacturing,Hardware Maintenance,Ireland,741
1/08/2020,Manufacturing,Hardware Maintenance,Italy,"30,841"
1/08/2020,Manufacturing,Hardware Maintenance,Puerto Rico,"43,265"
1/08/2020,Manufacturing,Internal Labor,Brazil,151
1/08/2020,Manufacturing,Internal Labor,France,"120,810"
1/08/2020,Manufacturing,Internal Labor,Germany,"24,161"
1/08/2020,Manufacturing,Internal Labor,Ireland,"22,205"
1/08/2020,Manufacturing,Internal Labor,Italy,"8,659"
1/08/2020,Manufacturing,Internal Labor,Puerto Rico,"77,938"
1/08/2020,Manufacturing,Internal Labor,Spain,"5,298"
1/08/2020,Manufacturing,Internal Labor,United Kingdom,"8,044"
1/08/2020,Manufacturing,Internal Labor,USA,"652,364"
1/08/2020,Manufacturing,Other,Brazil,5
1/08/2020,Manufacturing,Other,France,966
1/08/2020,Manufacturing,Other,Germany,62
1/08/2020,Manufacturing,Other,Puerto Rico,"-9,264"
1/08/2020,Manufacturing,Other,Spain,86
1/08/2020,Manufacturing,Other,United Kingdom,"1,149"
1/08/2020,Manufacturing,Other,USA,484
1/08/2020,Manufacturing,Project Expenses,France,190
1/08/2020,Manufacturing,Project Expenses,Ireland,225
1/08/2020,Manufacturing,Project Expenses,Puerto Rico,"1,551"
1/08/2020,Manufacturing,Project Expenses,USA,"17,191"
1/08/2020,Manufacturing,Recognition,Brazil,96
1/08/2020,Manufacturing,Recognition,USA,235
1/08/2020,Manufacturing,Severance,Italy,526
1/08/2020,Manufacturing,Software,USA,"44,990"
1/08/2020,Manufacturing,Software Maintenance,France,"1,087"
1/08/2020,Manufacturing,Software Maintenance,USA,"160,434"
1/08/2020,Manufacturing,Supplies,Brazil,18
1/08/2020,Manufacturing,Supplies,Germany,340
1/08/2020,Manufacturing,Supplies,Ireland,24
1/08/2020,Manufacturing,Supplies,Italy,1
1/08/2020,Manufacturing,Supplies,Puerto Rico,543
1/08/2020,Manufacturing,Supplies,USA,105
1/08/2020,Manufacturing,Taxes,USA,"2,226"
1/08/2020,Manufacturing,Telecomm,Brazil,333
1/08/2020,Manufacturing,Telecomm,France,"7,944"
1/08/2020,Manufacturing,Telecomm,Ireland,"8,078"
1/08/2020,Manufacturing,Telecomm,Italy,500
1/08/2020,Manufacturing,Telecomm,Puerto Rico,"5,709"
1/08/2020,Manufacturing,Telecomm,United Kingdom,37
1/08/2020,Manufacturing,Telecomm,USA,"12,593"
1/08/2020,Manufacturing,Training,USA,"5,917"
1/08/2020,Manufacturing,Travel,France,"1,589"
1/08/2020,Manufacturing,Travel,Puerto Rico,"1,254"
1/08/2020,Manufacturing,Travel,United Kingdom,"2,293"
1/08/2020,Manufacturing,Travel,USA,"7,589"
1/08/2020,Manufacturing,Vehicles,France,236
1/08/2020,Manufacturing,Vehicles,Spain,-9
1/08/2020,Manufacturing,Vehicles,United Kingdom,2
1/08/2020,Mobility,Depreciation,United Kingdom,"13,439"
1/08/2020,Mobility,Depreciation,USA,"2,059"
1/08/2020,Mobility,External Labor,United Kingdom,734
1/08/2020,Mobility,External Labor,USA,"9,188"
1/08/2020,Mobility,Internal Labor,United Kingdom,"2,744"
1/08/2020,Mobility,Other,United Kingdom,-520
1/08/2020,Mobility,Outbound Allocations,United Kingdom,"1,455"
1/08/2020,Mobility,Software,USA,"2,811"
1/08/2020,Mobility,Software Maintenance,USA,"30,387"
1/08/2020,Mobility,Taxes,USA,840
1/08/2020,Mobility,Telecomm,United Kingdom,-351
1/08/2020,Mobility,Telecomm,USA,3
1/08/2020,Mobility,Travel,United Kingdom,782
1/08/2020,Mobility,Vehicles,United Kingdom,2
1/08/2020,Networking,Depreciation,Canada,343
1/08/2020,Networking,Depreciation,Mexico,5
1/08/2020,Networking,Depreciation,Switzerland,556
1/08/2020,Networking,Depreciation,United Kingdom,"3,032"
1/08/2020,Networking,Depreciation,USA,"37,537"
1/08/2020,Networking,External Labor,Ireland,"64,500"
1/08/2020,Networking,External Labor,Mexico,"17,593"
1/08/2020,Networking,External Labor,Switzerland,"1,360"
1/08/2020,Networking,External Labor,United Kingdom,"2,622"
1/08/2020,Networking,External Labor,USA,"361,051"
1/08/2020,Networking,Hardware,Switzerland,58
1/08/2020,Networking,Hardware,United Kingdom,"179,206"
1/08/2020,Networking,Hardware,USA,"361,090"
1/08/2020,Networking,Hardware Maintenance,Switzerland,"1,168"
1/08/2020,Networking,Hardware Maintenance,USA,"50,151"
1/08/2020,Networking,Internal Labor,Germany,"15,863"
1/08/2020,Networking,Internal Labor,Switzerland,"6,850"
1/08/2020,Networking,Internal Labor,United Kingdom,"12,105"
1/08/2020,Networking,Internal Labor,USA,"43,243"
1/08/2020,Networking,Other,Canada,2
1/08/2020,Networking,Other,Mexico,112
1/08/2020,Networking,Other,Switzerland,358
1/08/2020,Networking,Other,United Kingdom,-450
1/08/2020,Networking,Other,USA,848
1/08/2020,Networking,Project Expenses,United Kingdom,"3,443"
1/08/2020,Networking,Software,USA,11
1/08/2020,Networking,Software Maintenance,Switzerland,"4,944"
